CellTypeID	CellType	CellGroup	Tool
Th1.cells_xCell	Th1.cells	Leukocyte	xCell
Th1.cells.Danaher_ssGSEA	Th1.cells	Leukocyte	ssGSEA
Th1.cells.Sanders_ssGSEA	Th1.cells	Leukocyte	ssGSEA
Th17.cells.Sanders_ssGSEA	Th17.cells	Leukocyte	ssGSEA
Th2.cells_xCell	Th2.cells	Leukocyte	xCell
Th2.cells.Sanders_ssGSEA	Th2.cells	Leukocyte	ssGSEA
Type.1.T.helper.cell.Adaptive_ssGSEA	Th1.cells	Leukocyte	ssGSEA
Type.17.T.helper.cell.Adaptive_ssGSEA	Th17.cells	Leukocyte	ssGSEA
Type.2.T.helper.cell.Adaptive_ssGSEA	Th2.cells	Leukocyte	ssGSEA
Regulatory.T.cell.Adaptive_ssGSEA	T.cell.regulatory	Leukocyte	ssGSEA
T.cell.regulatory..Tregs._quantiseq	T.cell.regulatory	Leukocyte	quantiseq
T.cells.regulatory..Tregs._Cibersort	T.cell.regulatory	Leukocyte	Cibersort
T.cells.regulatory..Tregs._CIBERSORTx	T.cell.regulatory	Leukocyte	CIBERSORTx
T.cells.regulatory..Tregs._SGL	T.cell.regulatory	Leukocyte	SGL
T.reg.Davoli_ssGSEA	T.cell.regulatory	Leukocyte	ssGSEA
Treg.cells.Sanders_ssGSEA	T.cell.regulatory	Leukocyte	ssGSEA
Treg.Danaher_ssGSEA	T.cell.regulatory	Leukocyte	ssGSEA
Tregs_xCell	T.cell.regulatory	Leukocyte	xCell
T.cells_MCP	T.cells	Leukocyte	MCP
T.cells.Danaher_ssGSEA	T.cells	Leukocyte	ssGSEA
T.cells.Sanders_ssGSEA	T.cells	Leukocyte	ssGSEA
Exhausted.CD8.Danaher_ssGSEA	T.exhausted	Leukocyte	ssGSEA
T.exhausted.TIDE_ssGSEA	T.exhausted	Leukocyte	ssGSEA
T.exhausted.Late.stage.TIDE_ssGSEA	T.exhausted.Late.stage	Leukocyte	ssGSEA
otherCells_EPIC-mRNA	uncharacterized.cell	other	EPIC-mRNA
uncharacterized.cell_quantiseq	uncharacterized.cell	other	quantiseq
WNT_beta_Catenin_Signaling.HALLMARK_ssGSEA	Wnt.b-catenin	Pathway	ssGSEA
